,reviews,ratings,dine_in_time
0,"I would not recommend, except you are not hungry..",2," November 28, 2020"
1,"The atmosphere is very different under COVID.   A server will bring salad bar items into your plate.  You pick which meat choices a d they bring small, precut portions to you.  It’s still all you can eat, food quality seems the same as before.  But the whole feel is very different and less special.",4," November 27, 2020"
2,Meat is not good. Food doesn’t taste as good. Paid 90$/ person for a not good food. Doesn’t worth the money.,3," November 26, 2020"
3,"We love Fogo. The service and staff are always wonderful. They are really trying hard to make the best out of the covid situation and restrictions. We’ve spent more than a handful of holiday meals here. The tables felt a little cramped this time, which I was surprised by. The food was great. Will return again.",5," November 26, 2020"
4,"Despite the recent reviews I saw on google, the food was great. Everything at the salad bar was great, I think my favorite was the chickpea salad. What I was disappointed about is though, after maybe 4-5 times they weren’t stopping by our table for the meat service. It wasn’t like there weren’t enough servers, they just kept walking by us without asking if we wanted some. I was waiting for about 20 minutes without anything to eat before I decided to go back to the salad bar. Servers and bussers kept asking if we were finished with our food because our plates were empty for so long. It was bit disappointing but the food itself was very nice!",3," November 24, 2020"
5,"I always feel rushed by the staff, it seems like they don’t want to be there. The steak portions were definitely smaller of what we used to. When we first arrived there was a congregation of staff members at the front desk (not safe at this covid crisis) the. We preceded to be seated at a table away from the beautiful view of the window, they said that section was closed. They handed out a piece of paper to be filled out by us we had to specify what kind of meats we wanted, it was pointless because they brought the opposite of what we wanted. We had a bacon allergy and that they brought us chicken wrapped in bacon. More than once. During lunch they kept offering some grilled pineapple that we didn’t want it at all. The picahna was burnt on the outside and cut very very thin and too much fat. Overall experience was disappointing, our side dishes were  cold and never refreshed or served hot. I don’t think we’ll be back again",4," November 19, 2020"
6,Phenomenal meal and service.  Adapted well to covid rules.,5," November 14, 2020"
7,This restaurant was really good! I would just say that I feel like the restaurant did not do good with COVID! tables were too close and there were so many people,4," November 14, 2020"
8,Had a party of 8. Food was delicious but service slowed down after only a few plates of food. Overall still a good experience,3," November 14, 2020"
9,"Very good, tasty food, nice atmoshere, but also very expensive.",5," November 13, 2020"
10,Staff was informative and attentive,4," November 8, 2020"
11,"Fogo is always a great place for meat lovers, I’ve always enjoyed my visit to other locations and now this one as well. I wish their cuts were more tender, as it’s usually my experience, I do however understand that we are under a pandemic and it is challenging to procure ingredients with the still-in-business purveyors and that represents a though situation for everybody involved, nevertheless the staff managed to more than make up for that little detail, thank you",4," November 7, 2020"
12,"Good concept, maybe better value without a pandemic. Tables are quite close, salad bar is not accessible without waiter assistance. Meats do come quite regularly but you want to be careful not to say yes to all of them, otherwise you get full quickly.",3," October 31, 2020"
13,The experience has deteriorated significantly from the last time I went to dine there.  It doesn’t warrant the $60 per person price tag.  Out dated and the salad bar was reduced to greens and some cheese with very limited options. Very disappointed.,3," October 31, 2020"
14,"Service was good, though adjusted given the pandemic, guests are still seated too close to each other. <br/>Good meat selection but mostly medium rare and even well done. Salad selection is really good. <br/>They gave us desserts for the anniversary &amp; birthday we were celebrating - very nice gesture! Much appreciated!",4," October 31, 2020"
15,Food shmacks servers awesome social distancing prime,5," October 29, 2020"
16,"Service was perfect, and the COVID-19 safety precautions were Both effective and non-disruptive to our dining experience.",5," October 27, 2020"
17,This was our second visit to Fogo de Chao and the food was excellent once again! Waitstaff were kind and very attentive.,5," October 26, 2020"
18,Birthday date. Nice time,5," October 23, 2020"
19,"Covid procedures for Buffet were very well done.  Might even consider keeping the look and ask, but server touches model going forward.   I did miss the table-side carvings and green/red cards.  Just not the same taking pre-sliced meat from a plate.  Servers were very attentive, and caring.",5," October 22, 2020"
20,Awesome experiance!  My recommendation is to skip lunch and bring your appetite to Fogo de Chao and you wont be disappointed!,5," October 10, 2020"
